,store_id,sku_id,total_price,base_price,is_featured_sku,is_display_sku,is_discount_sku,discount_ratio,Y_true,Y_pred
144782,9132,223153,212.325,212.325,0,0,0,1.0,41,36.691402
117,8222,378934,205.9125,205.9125,0,0,0,1.0,13,11.8942375
77408,8095,223153,140.3625,227.2875,1,1,1,0.6175548589341694,339,416.06116
62193,9809,245338,498.0375,498.0375,0,0,0,1.0,14,16.611362
143901,9479,217777,237.975,237.975,0,0,0,1.0,4,13.123471
132522,9713,219009,214.4625,214.4625,0,0,0,1.0,49,62.7861
29158,8562,222765,234.4125,234.4125,0,0,0,1.0,61,58.236874
14165,8869,679023,213.0375,213.0375,0,0,0,1.0,35,19.256382
103435,9432,219029,295.6875,295.6875,0,0,0,1.0,24,23.188122
134609,9425,679023,213.0375,213.0375,0,0,0,1.0,23,10.16457
923,9813,219009,227.2875,227.2875,0,0,0,1.0,37,34.359924
2047,9770,219844,235.125,235.125,0,0,0,1.0,12,17.722933
128190,9984,300021,70.5375,89.0625,0,0,1,0.7919999999999999,17,29.448582
88364,9442,217390,163.875,163.875,0,0,0,1.0,26,47.471077
101338,9713,219029,327.0375,327.0375,0,0,0,1.0,36,39.11449
85213,9770,223153,212.325,212.325,1,1,0,1.0,187,153.56978
19620,9984,300021,88.35,88.35,0,0,0,1.0,24,26.703176
112126,8058,216418,105.45,105.45,0,0,0,1.0,86,90.636856
260,8438,245338,427.5,448.1625,1,1,1,0.9538950715421303,53,48.21636
16435,8555,217390,138.225,163.1625,0,0,1,0.8471615720524017,33,20.115469
80356,9456,216419,86.925,86.925,0,0,0,1.0,20,26.674828
123256,9632,223153,203.775,203.775,0,0,0,1.0,35,40.746292
2505,8392,245338,448.1625,448.1625,0,0,0,1.0,9,7.0774302
91035,9823,223245,144.6375,205.2,1,0,1,0.704861111111111,367,286.42828
95809,9909,222765,213.0375,213.0375,0,0,0,1.0,75,55.306118
135707,9371,216233,132.525,132.525,0,0,0,1.0,39,25.74524
120399,8562,219029,326.325,326.325,0,0,0,1.0,45,51.938694
226,8400,245338,426.7875,453.8625,1,1,1,0.9403453689167975,46,42.471207
63703,8319,219844,235.125,235.125,0,0,0,1.0,31,24.068996
101250,9672,300021,104.7375,106.1625,0,1,1,0.9865771812080537,59,38.151142
101588,9909,245338,355.5375,498.0375,0,0,1,0.7138769670958512,60,62.44933
28743,9876,219029,197.3625,295.6875,1,1,1,0.6674698795180724,144,101.130005
117992,8319,222765,227.2875,227.2875,0,0,0,1.0,7,11.618801
61435,8400,219029,322.7625,322.7625,0,0,0,1.0,8,46.915894
128951,9532,320485,205.9125,205.9125,0,0,0,1.0,13,20.792868
46833,9432,300291,69.825,111.15,1,0,1,0.6282051282051282,20,18.021563
52898,9813,219009,183.825,227.2875,0,0,1,0.8087774294670846,36,57.816093
140869,9954,222765,239.4,239.4,0,0,0,1.0,30,32.098072
140609,9713,222087,153.9,226.575,0,0,1,0.679245283018868,54,57.339806
77941,9328,217777,228.0,228.0,0,0,0,1.0,15,12.83932
37781,9632,219009,218.7375,218.7375,0,0,0,1.0,72,67.04008
4685,8063,245387,454.575,454.575,0,0,0,1.0,13,19.261387
14355,9250,547934,177.4125,177.4125,0,1,0,1.0,16,15.317802
26537,9961,219009,220.1625,220.1625,0,0,0,1.0,90,84.86395
61304,8023,547934,160.3125,160.3125,0,0,0,1.0,51,55.751045
97666,9432,245387,355.5375,463.125,1,0,1,0.7676923076923078,26,32.11137
133077,8438,222087,227.2875,227.2875,0,0,0,1.0,52,56.537373
61040,9845,216418,88.35,104.7375,1,0,1,0.8435374149659863,263,296.81528
139943,8392,217390,173.1375,173.1375,0,0,0,1.0,18,20.96501
54008,9745,217390,168.15,168.15,0,0,0,1.0,67,78.96785
139889,8121,320485,205.9125,205.9125,0,0,0,1.0,22,22.681437
62912,9281,222087,178.125,215.8875,1,0,1,0.8250825082508251,80,65.76433
107820,9132,222765,178.125,223.0125,0,0,1,0.7987220447284346,10,20.48912
48958,9190,327492,107.5875,107.5875,0,0,0,1.0,21,13.184852
133720,9770,222087,190.2375,190.2375,0,0,0,1.0,21,25.509113
120817,9481,216425,116.85,116.85,0,0,0,1.0,98,73.00755
143337,8222,378934,213.0375,213.0375,0,0,0,1.0,16,15.061889
6273,9273,300021,67.6875,67.6875,0,0,0,1.0,14,16.968552
124626,9879,223153,177.4125,235.8375,1,1,1,0.7522658610271903,96,131.90619
117507,9713,219009,133.2375,222.3,1,1,1,0.5993589743589743,366,219.32701
75385,8991,216233,128.9625,128.9625,0,0,0,1.0,46,37.665184
144515,8121,245387,375.4875,483.7875,1,1,1,0.7761413843888071,20,35.733585
102121,9250,216425,118.275,133.2375,0,0,1,0.8877005347593583,76,71.65729
82884,9745,219009,206.625,206.625,0,0,0,1.0,53,81.53067
110405,9479,217217,204.4875,233.7,0,0,1,0.8750000000000001,5,14.178003
121215,9909,217390,141.7875,141.7875,0,0,0,1.0,43,41.297356
111458,9371,222765,183.825,234.4125,0,0,1,0.7841945288753799,46,42.191856
140633,9745,217390,175.9875,175.9875,0,0,0,1.0,92,79.93767
89648,9490,219009,195.9375,195.9375,0,0,0,1.0,47,66.55226
25405,9984,223245,177.4125,206.625,1,1,1,0.8586206896551724,131,201.93687
60537,9221,223153,227.2875,227.2875,0,0,0,1.0,15,16.379185
30014,9984,216419,88.35,88.35,0,0,0,1.0,32,50.25823
54835,9328,216419,69.825,87.6375,1,0,1,0.7967479674796748,146,95.931435
59897,9845,223245,213.0375,213.0375,0,0,0,1.0,142,102.77406
13968,8222,300021,104.7375,104.7375,0,0,0,1.0,78,87.48043
56468,9876,223153,205.9125,212.325,0,1,1,0.9697986577181208,96,90.663
145716,8392,216425,128.9625,128.9625,0,0,0,1.0,13,13.225827
80151,9190,222087,185.25,234.4125,0,0,1,0.790273556231003,98,85.53406
12800,8058,217390,141.7875,166.725,0,0,1,0.8504273504273504,101,85.738976
135664,9279,222765,233.7,233.7,0,0,0,1.0,30,41.112305
99593,8555,216419,88.35,88.35,0,0,0,1.0,27,19.92254
62946,9371,219029,327.0375,327.0375,0,0,0,1.0,20,22.794846
84919,9430,245338,498.0375,498.0375,0,0,0,1.0,17,14.805615
14180,8991,222765,205.2,205.2,0,0,0,1.0,40,58.152256
96618,9578,216418,106.1625,106.1625,0,0,0,1.0,46,49.082355
35857,8063,216419,69.825,69.825,0,0,0,1.0,32,43.332447
80776,9890,216233,131.8125,131.8125,0,0,0,1.0,37,40.524498
63934,9147,216419,89.0625,104.7375,0,1,1,0.8503401360544218,123,116.22303
137101,9613,245387,512.2875,512.2875,0,0,0,1.0,18,13.840219
115575,8023,216233,116.85,116.85,0,0,0,1.0,133,115.84173
73389,9425,378934,205.9125,205.9125,0,0,0,1.0,15,17.997213
14622,9578,245338,391.1625,435.3375,1,1,1,0.8985270049099837,20,29.415068
19721,8023,245387,448.1625,448.1625,0,0,0,1.0,22,27.960558
149690,9481,216419,109.725,109.725,0,1,0,1.0,124,129.32153
34750,8058,320485,205.9125,205.9125,0,0,0,1.0,22,14.902259
42143,9328,223245,227.2875,227.2875,0,0,0,1.0,21,22.811989
140662,9789,320485,205.9125,205.9125,0,0,0,1.0,52,33.008686
7879,9823,600934,490.9125,490.9125,0,0,0,1.0,15,10.085686
8042,9954,320485,177.4125,177.4125,0,0,0,1.0,37,32.912754
34549,9880,320485,205.9125,205.9125,0,0,0,1.0,19,26.169027
125554,9632,216418,69.825,85.5,0,1,1,0.8166666666666667,44,44.79985
103067,8562,216418,106.1625,101.8875,0,1,0,1.0419580419580419,178,162.43681
38517,9132,219009,205.9125,205.9125,0,0,0,1.0,47,54.78081
93750,8392,245338,469.5375,469.5375,0,0,0,1.0,1,6.0923285
68862,9490,378934,205.9125,205.9125,0,0,0,1.0,37,28.344791
107221,9837,222087,227.2875,227.2875,0,0,0,1.0,54,49.30996
101908,8555,222087,210.9,210.9,0,0,0,1.0,14,21.07642
111810,9823,216419,106.1625,106.1625,0,0,0,1.0,78,92.13952
3945,9250,300021,99.0375,99.0375,0,1,0,1.0,35,54.224598
35154,9273,219844,225.8625,225.8625,0,0,0,1.0,11,17.871122
28105,9112,217390,138.9375,166.725,0,0,1,0.8333333333333334,142,132.73448
10641,8438,217390,166.0125,166.0125,0,0,0,1.0,38,40.66111
43345,9439,216233,130.3875,130.3875,0,0,0,1.0,16,23.50481
143177,9954,320485,177.4125,203.0625,0,1,1,0.8736842105263157,29,38.01052
92600,8398,216233,133.95,133.95,0,0,0,1.0,49,49.223267
86992,9092,219009,192.375,192.375,0,0,0,1.0,80,75.11801
55738,8869,219029,327.0375,327.0375,0,0,0,1.0,43,43.58621
34472,9809,223245,111.15,205.2,1,0,1,0.5416666666666667,367,514.2788
115861,9092,216418,87.6375,87.6375,0,0,0,1.0,85,58.60388
42681,9909,223153,213.0375,213.0375,0,0,0,1.0,33,76.35075
138445,9872,216425,131.1,131.1,0,0,0,1.0,9,18.42963
5098,9250,216418,106.1625,99.0375,0,1,0,1.0719424460431655,146,192.06932
115757,8438,223153,235.8375,235.8375,0,0,0,1.0,32,40.362427
36333,9279,378934,205.9125,205.9125,0,0,0,1.0,7,16.04526
82766,9578,222765,234.4125,234.4125,0,0,0,1.0,38,36.296795
378,9092,679023,182.4,182.4,0,0,0,1.0,10,16.932686
97835,9632,216419,70.5375,89.0625,0,0,1,0.7919999999999999,20,21.59307
100482,9984,245338,355.5375,469.5375,0,0,1,0.7572078907435509,21,23.677872
91013,9813,219009,198.7875,198.7875,0,0,0,1.0,76,54.78178
19927,8869,300021,89.0625,102.6,0,1,1,0.8680555555555556,61,62.68447
2941,9432,216419,70.5375,83.3625,0,1,1,0.8461538461538461,93,84.46872
107086,9632,223153,142.5,212.325,1,1,1,0.6711409395973155,154,250.55789
116469,9809,300021,109.0125,109.0125,0,0,0,1.0,76,30.991314
128719,9273,245338,469.5375,469.5375,0,0,0,1.0,19,16.95809
131423,9789,378934,205.9125,205.9125,0,0,0,1.0,22,24.12548
43325,9442,547934,175.9875,175.9875,0,0,0,1.0,16,15.243879
47533,8319,219844,235.8375,235.8375,0,0,0,1.0,26,24.17525
6496,9498,216418,87.6375,87.6375,0,1,0,1.0,21,43.31503
41267,9700,216233,118.9875,118.9875,0,0,0,1.0,26,11.789191
28423,9481,222087,175.9875,175.9875,0,0,0,1.0,67,84.36026
121424,8218,219029,295.6875,295.6875,0,0,0,1.0,16,13.485646
