,feature,importance
0,is_display_sku,44.262962341308594
1,is_featured_sku,43.33466720581055
2,is_discount_sku,33.546058654785156
3,ewma_4_records,31.84732437133789
4,sku_id,7.466036796569824
5,lag_4_weeks,7.072981357574463
6,store_id,3.981937885284424
7,total_price,3.322225570678711
8,base_price,2.531052827835083
9,cos_month,2.199810266494751
10,gap_since_lag_1_records,1.9291259050369263
11,sin_month,1.65961492061615
12,cos_week_of_year,1.553964376449585
13,sin_week_of_year,1.3942148685455322
14,quarter,1.2918877601623535
15,target_changing_rate_per_week_2,1.1727039813995361
16,target_changing_rate_per_week_1,0.9187096357345581
