,feature,importance
0,is_featured_sku,60.35948181152344
1,is_discount_sku,43.93083572387695
2,ewma_24_records,43.4659309387207
3,is_display_sku,35.9486198425293
4,sku_id,5.96412467956543
5,lag_4_weeks,3.5758183002471924
6,store_id,3.0286149978637695
7,total_price,2.6650047302246094
8,total_price_change_ratio,2.5232181549072266
9,gap_since_lag_1_records,2.194046974182129
10,cos_month,1.8848830461502075
11,base_price,1.8142145872116089
12,sin_month,1.4545297622680664
13,cos_week_of_year,1.4329591989517212
14,sin_week_of_year,1.3388561010360718
15,quarter,1.2519510984420776
16,store_week_total_units_sold_lag1,1.2026532888412476
17,target_changing_rate_per_week_1,0.8257155418395996
