,feature,importance
0,is_display_sku,47.62173080444336
1,is_discount_sku,35.34455871582031
2,is_featured_sku,24.27271842956543
3,lag_3_weeks,21.432300567626953
4,sku_id,11.343204498291016
5,store_id,5.768788814544678
6,total_price,4.778413772583008
7,base_price,2.146148681640625
8,cos_month,2.076396942138672
9,target_changing_rate_per_week_2,1.8549941778182983
10,gap_since_lag_1_records,1.6212458610534668
11,cos_week_of_year,1.521174430847168
12,sin_month,1.4723707437515259
13,sin_week_of_year,1.4063901901245117
14,quarter,1.231665015220642
15,target_changing_rate_per_week_1,0.9849180579185486
