,feature,importance
0,is_featured_sku,53.117523193359375
1,is_display_sku,43.34300231933594
2,ewma_4_records,33.50732421875
3,lag_4_weeks,6.195698261260986
4,sku_id,6.148981094360352
5,total_price,4.902506351470947
6,store_id,3.41707706451416
7,cos_month,2.244166851043701
8,base_price,1.8615909814834595
9,gap_since_lag_1_records,1.7036900520324707
10,sin_month,1.6522678136825562
11,cos_week_of_year,1.5786364078521729
12,sin_week_of_year,1.3518201112747192
13,quarter,1.346556305885315
14,target_changing_rate_per_week_2,1.2088977098464966
15,target_changing_rate_per_week_1,0.8828772306442261
