,feature,importance
0,is_featured_sku,58.863441467285156
1,ewma_24_records,33.790287017822266
2,is_display_sku,27.992172241210938
3,is_discount_sku,26.69974136352539
4,sku_id,6.171411514282227
5,lag_4_weeks,5.697708606719971
6,store_id,3.438417434692383
7,total_price,2.50600004196167
8,base_price,2.2966222763061523
9,cos_month,1.996467113494873
10,gap_since_lag_1_records,1.8710062503814697
11,cos_week_of_year,1.4385032653808594
12,sin_month,1.4250781536102295
13,is_featured_sku_lag_1_weeks,1.3421663045883179
14,sin_week_of_year,1.2650164365768433
15,quarter,1.1655974388122559
16,target_changing_rate_per_week_1,0.7855252027511597
