,feature,importance
0,is_featured_sku,64.90765380859375
1,is_discount_sku,40.77621078491211
2,ewma_24_records,36.64943313598633
3,is_display_sku,28.870580673217773
4,lag_4_weeks,9.142187118530273
5,sku_id,6.2197346687316895
6,store_id,3.0138587951660156
7,total_price_change_ratio,2.7033863067626953
8,total_price,2.5700972080230713
9,gap_since_lag_1_records,2.2156624794006348
10,cos_month,1.778334140777588
11,base_price,1.6603285074234009
12,is_featured_sku_lag_1_weeks,1.5603764057159424
13,cos_week_of_year,1.456650972366333
14,sin_month,1.4109022617340088
15,sin_week_of_year,1.282488226890564
16,quarter,1.2494901418685913
17,target_changing_rate_per_week_1,0.792780339717865
18,is_display_sku_lag_1_weeks,0.6913051009178162
