,feature,importance
0,ewma_4_records,66.00020599365234
1,is_featured_sku,58.34648513793945
2,is_discount_sku,45.57619857788086
3,is_display_sku,38.76905822753906
4,ewma_3_records,8.6553955078125
5,discount_ratio,7.264885425567627
6,sku_id,5.651735305786133
7,ewma_2_records,3.8120787143707275
8,total_price,3.760801076889038
9,store_id,2.9791805744171143
10,lag_4_weeks,2.712585926055908
11,base_price,2.007234811782837
12,gap_since_lag_1_records,1.7046371698379517
13,cos_week_of_year,1.6982510089874268
14,sin_month,1.6683337688446045
15,sin_week_of_year,1.5208238363265991
16,quarter,1.4649934768676758
17,target_changing_rate_per_week_2,1.3764491081237793
18,target_changing_rate_per_week_1,0.9207155704498291
