,feature,importance
0,ewma_4_records,67.1968994140625
1,is_featured_sku,59.16505432128906
2,is_display_sku,44.065284729003906
3,is_discount_sku,32.45534133911133
4,ewma_3_records,12.955228805541992
5,discount_ratio,7.8933329582214355
6,sku_id,5.235208034515381
7,total_price,3.5150232315063477
8,store_id,2.9591333866119385
9,lag_4_weeks,2.522928476333618
10,cos_month,2.141491413116455
11,base_price,2.1303019523620605
12,gap_since_lag_1_records,1.751656413078308
13,sin_month,1.6295580863952637
14,cos_week_of_year,1.5914665460586548
15,quarter,1.4311717748641968
16,sin_week_of_year,1.4220820665359497
17,target_changing_rate_per_week_2,1.3135484457015991
18,ewma_2_records,1.0670136213302612
19,target_changing_rate_per_week_1,0.9131909012794495
