,feature,importance
0,ewma_4_records,65.26332092285156
1,is_featured_sku,61.853515625
2,is_discount_sku,41.69961929321289
3,is_display_sku,40.12999725341797
4,ewma_3_records,14.277528762817383
5,discount_ratio,6.827954292297363
6,sku_id,5.706721782684326
7,total_price,3.3577640056610107
8,store_id,2.9516446590423584
9,lag_4_weeks,2.473796844482422
10,gap_since_lag_1_records,1.827893614768982
11,base_price,1.825747013092041
12,cos_week_of_year,1.7380404472351074
13,quarter,1.5665301084518433
14,sin_week_of_year,1.463404893875122
15,target_changing_rate_per_week_2,1.3670470714569092
16,ewma_2_records,1.0074330568313599
17,target_changing_rate_per_week_1,0.9619548320770264
