,feature,importance
0,ewma_4_records,64.9026870727539
1,is_featured_sku,57.962467193603516
2,is_discount_sku,44.012779235839844
3,is_display_sku,33.09071350097656
4,ewma_3_records,8.406176567077637
5,sku_id,5.8402628898620605
6,total_price,4.037717342376709
7,ewma_2_records,3.7088677883148193
8,store_id,3.032675266265869
9,lag_4_weeks,2.714940071105957
10,base_price,2.221966505050659
11,cos_month,2.094369411468506
12,cos_week_of_year,1.687562108039856
13,gap_since_lag_1_records,1.6738059520721436
14,sin_month,1.6480075120925903
15,sin_week_of_year,1.5277341604232788
16,quarter,1.3560878038406372
17,target_changing_rate_per_week_2,1.3506991863250732
18,target_changing_rate_per_week_1,0.9353090524673462
