,feature,importance
0,is_display_sku,44.71339797973633
1,is_discount_sku,36.80044937133789
2,is_featured_sku,25.90096664428711
3,lag_4_weeks,21.160032272338867
4,sku_id,12.204322814941406
5,store_id,6.050089359283447
6,total_price,4.089046001434326
7,base_price,2.351928472518921
8,cos_month,2.0489346981048584
9,gap_since_lag_1_records,1.5663914680480957
10,sin_month,1.5105476379394531
11,cos_week_of_year,1.471726417541504
12,sin_week_of_year,1.304863691329956
13,quarter,1.264801263809204
14,target_changing_rate_per_week_2,0.8498987555503845
15,target_changing_rate_per_week_1,0.8376784324645996
