,feature,importance
0,ewma_4_records,66.87037658691406
1,is_featured_sku,62.83950424194336
2,is_display_sku,43.777015686035156
3,is_discount_sku,32.81793212890625
4,ewma_3_records,13.633269309997559
5,discount_ratio,7.7528076171875
6,sku_id,5.153844833374023
7,total_price,3.6055173873901367
8,store_id,2.97348690032959
9,lag_4_weeks,2.583796977996826
10,base_price,2.1673059463500977
11,cos_month,2.0475735664367676
12,gap_since_lag_4_records,2.0052261352539062
13,sin_month,1.6980221271514893
14,cos_week_of_year,1.6875543594360352
15,quarter,1.628488302230835
16,sin_week_of_year,1.532433271408081
17,target_changing_rate_per_week_2,1.3107285499572754
18,ewma_2_records,1.0760226249694824
19,target_changing_rate_per_week_1,0.880447268486023
