,feature,importance
0,is_display_sku,47.75467300415039
1,is_featured_sku,37.284950256347656
2,lag_4_weeks,21.797094345092773
3,sku_id,11.933819770812988
4,total_price,6.211653709411621
5,store_id,5.720236301422119
6,base_price,2.518282651901245
7,cos_month,2.1148858070373535
8,gap_since_lag_1_records,1.6598964929580688
9,cos_week_of_year,1.585566759109497
10,sin_month,1.5144413709640503
11,sin_week_of_year,1.3888428211212158
12,quarter,1.325610637664795
13,target_changing_rate_per_week_2,0.8989127278327942
14,target_changing_rate_per_week_1,0.8750178813934326
