,feature,importance
0,ewma_4_records,76.07124328613281
1,is_featured_sku,64.30712127685547
2,is_display_sku,52.684452056884766
3,is_discount_sku,35.24981689453125
4,ewma_3_records,30.991487503051758
5,discount_ratio,10.146448135375977
6,sku_id,5.208995342254639
7,total_price,4.384733200073242
8,lag_4_weeks,3.621084451675415
9,store_id,2.731445074081421
10,base_price,2.3885276317596436
11,cos_month,2.3813648223876953
12,quarter,1.940219521522522
13,gap_since_lag_1_records,1.900771975517273
14,gap_since_lag_4_records,1.8838186264038086
15,gap_since_lag_2_records,1.8696417808532715
16,cos_week_of_year,1.7828847169876099
17,sin_month,1.6971886157989502
18,sin_week_of_year,1.6818586587905884
19,target_changing_rate_per_week_4,1.4984984397888184
20,target_changing_rate_per_week_2,1.3702073097229004
21,lag_2_weeks,1.2422666549682617
22,ewma_2_records,1.066346526145935
23,target_changing_rate_per_week_1,0.9291506409645081
