,feature,importance
0,is_featured_sku,69.98098754882812
1,ewma_4_records,63.52519989013672
2,is_display_sku,41.756282806396484
3,is_discount_sku,40.55465316772461
4,ewma_3_records,13.287739753723145
5,discount_ratio,8.358115196228027
6,ewma_2_records,6.108832836151123
7,sku_id,5.36936616897583
8,total_price,3.9272141456604004
9,lag_4_weeks,3.214738607406616
10,store_id,2.9059791564941406
11,cos_month,2.1805014610290527
12,base_price,2.1478323936462402
13,gap_since_lag_2_records,1.7847542762756348
14,sin_month,1.7699185609817505
15,gap_since_lag_4_records,1.760144829750061
16,sin_week_of_year,1.7246578931808472
17,cos_week_of_year,1.6940678358078003
18,gap_since_lag_1_records,1.6869771480560303
19,target_changing_rate_per_week_2,1.522436261177063
20,target_changing_rate_per_week_1,0.943469226360321
