,feature,importance
0,ewma_4_records,85.2109603881836
1,is_featured_sku,70.59225463867188
2,is_display_sku,58.944156646728516
3,ewma_3_records,23.660398483276367
4,is_discount_sku,18.012863159179688
5,discount_ratio,11.663727760314941
6,ewma_2_records,6.014085292816162
7,sku_id,5.90098237991333
8,total_price,4.162657260894775
9,lag_4_weeks,3.755399227142334
10,store_id,2.968635320663452
11,cos_month,2.1617157459259033
12,base_price,1.961256980895996
13,gap_since_lag_4_records,1.9299215078353882
14,gap_since_lag_2_records,1.9005945920944214
15,cos_week_of_year,1.8055260181427002
16,quarter,1.7966190576553345
17,sin_month,1.7878059148788452
18,gap_since_lag_1_records,1.7654659748077393
19,sin_week_of_year,1.643433928489685
20,target_changing_rate_per_week_4,1.440622329711914
21,target_changing_rate_per_week_2,1.4275245666503906
22,lag_2_weeks,1.2487438917160034
23,lag_1_weeks,1.1883115768432617
24,target_changing_rate_per_week_1,0.8910811543464661
