,feature,importance
0,is_featured_sku,65.66258239746094
1,ewma_4_records,62.97083282470703
2,is_display_sku,42.24934768676758
3,is_discount_sku,40.417049407958984
4,ewma_3_records,12.978726387023926
5,discount_ratio,8.28237247467041
6,ewma_2_records,6.007513999938965
7,sku_id,5.421391487121582
8,total_price,3.8927559852600098
9,lag_4_weeks,3.1078577041625977
10,store_id,2.8924458026885986
11,base_price,2.138425827026367
12,cos_month,2.1274614334106445
13,quarter,1.840061902999878
14,gap_since_lag_4_records,1.8240619897842407
15,gap_since_lag_2_records,1.80209481716156
16,week_of_year,1.792275071144104
17,sin_month,1.7670308351516724
18,gap_since_lag_1_records,1.706231951713562
19,target_changing_rate_per_week_2,1.502948522567749
20,target_changing_rate_per_week_1,0.9291089773178101
