,feature,importance
0,is_featured_sku,60.53757095336914
1,ewma_4_records,50.7463493347168
2,is_display_sku,40.2211799621582
3,is_discount_sku,37.71531677246094
4,ewma_3_records,25.852182388305664
5,discount_ratio,9.03268814086914
6,sku_id,5.600486755371094
7,ewma_2_records,4.841602802276611
8,lag_4_weeks,4.052526950836182
9,total_price,3.756479501724243
10,store_id,3.053124189376831
11,base_price,2.0150701999664307
12,cos_month,2.0011789798736572
13,gap_since_lag_1_records,1.7726702690124512
14,gap_since_lag_4_records,1.7714498043060303
15,gap_since_lag_2_records,1.7693848609924316
16,cos_week_of_year,1.70819890499115
17,sin_month,1.665124773979187
18,quarter,1.6051578521728516
19,target_changing_rate_per_week_4,1.491426944732666
20,sin_week_of_year,1.467432975769043
21,target_changing_rate_per_week_1,0.9100382328033447
